***;Taurus_EVB;R 764;Beroun_kolej_A;Karlstejn_kolej_A;0,7;ahead;ahead;1500;8200
***;Ragulin;N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0,8;ahead;ahead;9000;8000
***;Herkules_Priessnitz;Os 8845;Beroun_kolej_C;Lhota_kolej_C;0,7;reverse;ahead;3100;3000
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:00:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;17:01:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:02:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:03:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:04:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;17:05:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:06:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;17:07:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:08:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:09:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:10:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;17:11:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:12:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;17:13:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:14:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:15:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:16:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;17:17:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:00:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;18:01:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:02:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:03:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:04:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;18:05:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:06:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;18:07:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:08:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:09:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:10:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;18:11:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:12:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;18:13:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:14:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:15:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:16:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;18:17:00;;;;;;
